Climber,Rating,Type,Sex
Yes,4,tr,female
Yes,4,bouldering,male
No,3,bouldering,female
Yes,4,tr,male
Yes,4,bouldering,male
No,3,bouldering,female
No,3,tr,female
No,3,bouldering,male
Yes,5,tr,male
Yes,5,tr,female
Yes,4,bouldering,female
No,5,tr,female
No,3,tr,male
Yes,4,bouldering,female
No,4,bouldering,male
No,5,tr,female
Yes,5,bouldering,male
No,3,tr,male
Yes,4,bouldering,female
No,4,bouldering,male
No,4,tr,male
No,4,bouldering,female
No,5,tr,female
No,3,tr,female
Yes,4,bouldering,female
No,5,tr,male
Yes,4,bouldering,male
No,5,bouldering,male
No,4,bouldering,female
No,5,tr,female
No,3,bouldering,female
Yes,5,bouldering,male
Yes,5,bouldering,male
Yes,2,tr,male
No,3,tr,male
Yes,4,bouldering,female
Yes,2,tr,female
No,4,bouldering,male
No,4,tr,female
No,4,bouldering,female
No,5,tr,male
No,5,bouldering,male
No,4,tr,female
No,5,tr,male
No,4,bouldering,female
No,5,tr,female
No,5,bouldering,female
No,4,tr,male
No,3,bouldering,male
No,3,bouldering,female
Yes,4,bouldering,male
No,4,tr,male
Yes,4,tr,male
No,5,bouldering,male
No,4,tr,female
Yes,4,bouldering,female
Yes,3,tr,male
No,4,bouldering,female
Yes,4,tr,female
No,5,bouldering,male
No,4,bouldering,male
Yes,4,tr,male
No,5,bouldering,female
No,5,tr,female
No,5,tr,female
No,2,bouldering,female
Yes,4,bouldering,male
No,4,tr,male
No,5,tr,female
No,3,bouldering,male
No,4,tr,male
No,4,tr,female
No,4,bouldering,female
No,5,bouldering,male
No,2,tr,male
No,5,bouldering,male
